,cod,nome,período,valor,classe,taxa
0,4,S,2000,2750,HNN,25.8
1,2,NE,2000,1082,HNN,17.05
2,3,SE,2000,11335,HNN,48.65
3,1,N,2000,365,HNN,32.47
4,5,CO,2000,928,HNN,38.1
5,4,S,2001,3131,HNN,28.87
6,2,NE,2001,1182,HNN,18.26
7,3,SE,2001,11502,HNN,48.66
8,1,N,2001,449,HNN,37.92
9,5,CO,2001,934,HNN,38.52
10,4,S,2002,3442,HNN,31.9
11,2,NE,2002,1108,HNN,16.29
12,3,SE,2002,11286,HNN,47.57
13,1,N,2002,478,HNN,39.44
14,5,CO,2002,1008,HNN,39.49
15,4,S,2003,3720,HNN,34.53
16,2,NE,2003,1155,HNN,17.72
17,3,SE,2003,11275,HNN,47.83
18,1,N,2003,435,HNN,36.06
19,5,CO,2003,930,HNN,37.27
20,4,S,2004,3871,HNN,35.21
21,2,NE,2004,958,HNN,14.03
22,3,SE,2004,9555,HNN,40.75
23,1,N,2004,444,HNN,28.88
24,5,CO,2004,991,HNN,39.15
25,4,S,2005,3931,HNN,36.39
26,2,NE,2005,1113,HNN,16.24
27,3,SE,2005,8025,HNN,35.13
28,1,N,2005,454,HNN,29.13
29,5,CO,2005,899,HNN,34.41
30,4,S,2006,4222,HNN,39.54
31,2,NE,2006,1111,HNN,16.17
32,3,SE,2006,7846,HNN,33.86
33,1,N,2006,453,HNN,28.45
34,5,CO,2006,879,HNN,33.05
35,4,S,2007,4244,HNN,39.49
36,2,NE,2007,1105,HNN,15.9
37,3,SE,2007,6473,HNN,28.01
38,1,N,2007,388,HNN,22.45
39,5,CO,2007,939,HNN,36.27
40,4,S,2008,4698,HNN,43.39
41,2,NE,2008,1319,HNN,18.51
42,3,SE,2008,6079,HNN,26.69
43,1,N,2008,426,HNN,26.89
44,5,CO,2008,947,HNN,35.11
45,4,S,2009,4892,HNN,44.99
46,2,NE,2009,1253,HNN,18.15
47,3,SE,2009,6062,HNN,26.39
48,1,N,2009,445,HNN,27.17
49,5,CO,2009,955,HNN,35.05
50,4,S,2010,4604,HNN,42.2
51,2,NE,2010,1250,HNN,17.89
52,3,SE,2010,5549,HNN,17.9
53,1,N,2010,538,HNN,30.89
54,5,CO,2010,889,HNN,17.91
55,4,S,2011,4471,HNN,17.95
56,2,NE,2011,1381,HNN,17.96
57,3,SE,2011,5389,HNN,17.92
58,1,N,2011,551,HNN,17.94
59,5,CO,2011,927,HNN,17.93
60,4,S,2012,4578,HNN,17.1
61,2,NE,2012,1390,HNN,17.101
62,3,SE,2012,5668,HNN,17.98
63,1,N,2012,583,HNN,17.99
64,5,CO,2012,1008,HNN,17.97
65,4,S,2013,4280,HNN,17.104
66,2,NE,2013,1434,HNN,17.106
67,3,SE,2013,5444,HNN,17.102
68,1,N,2013,648,HNN,17.105
69,5,CO,2013,1061,HNN,17.103
70,4,S,2014,4626,HNN,17.109
71,2,NE,2014,1633,HNN,17.107
72,3,SE,2014,5490,HNN,17.111
73,1,N,2014,572,HNN,17.108
74,5,CO,2014,1175,HNN,17.11
75,4,S,2015,4734,HNN,17.113
76,2,NE,2015,1554,HNN,17.115
77,3,SE,2015,4824,HNN,17.116
78,1,N,2015,596,HNN,17.114
79,5,CO,2015,1147,HNN,17.112
80,4,S,2016,4997,HNN,17.12
81,2,NE,2016,1723,HNN,17.118
82,3,SE,2016,4847,HNN,17.121
