cod,nome,período,valor
5,CO,2000,29.81
1,N,2000,19.29
2,NE,2000,19.78
4,S,2000,15.72
3,SE,2000,37.43
5,CO,2001,29.06
1,N,2001,19.98
2,NE,2001,21.92
4,S,2001,17.22
3,SE,2001,36.69
5,CO,2002,30.1
1,N,2002,21.8
2,NE,2002,22.45
4,S,2002,18.51
3,SE,2002,36.94
5,CO,2003,30.05
1,N,2003,23
2,NE,2003,24.05
4,S,2003,19.72
3,SE,2003,36.69
5,CO,2004,29.2
1,N,2004,22.1
2,NE,2004,22.97
4,S,2004,20.45
3,SE,2004,32.27
5,CO,2005,28.13
1,N,2005,25.07
2,NE,2005,25.59
4,S,2005,20.88
3,SE,2005,28.17
5,CO,2006,28.25
1,N,2006,27.01
2,NE,2006,27.99
4,S,2006,21.04
3,SE,2006,27.28
5,CO,2007,28.97
1,N,2007,27.25
2,NE,2007,30.02
4,S,2007,22.2
3,SE,2007,24.39
5,CO,2008,30.96
1,N,2008,32.06
2,NE,2008,32.22
4,S,2008,24.1
3,SE,2008,22.24
5,CO,2009,32.45
1,N,2009,33.75
2,NE,2009,33.46
4,S,2009,24.39
3,SE,2009,21.81
5,CO,2010,31.27
1,N,2010,37.96
2,NE,2010,35.73
4,S,2010,23.71
3,SE,2010,21.34
5,CO,2011,34.09
1,N,2011,35.07
2,NE,2011,36.42
4,S,2011,22.73
3,SE,2011,20.45
5,CO,2012,38.16
1,N,2012,37.25
2,NE,2012,39.31
4,S,2012,24.13
3,SE,2012,21.54
5,CO,2013,37.35
1,N,2013,35.86
2,NE,2013,39.72
4,S,2013,21
3,SE,2013,20.7
5,CO,2014,38.03
1,N,2014,36.44
2,NE,2014,41.91
4,S,2014,22.78
3,SE,2014,21.42
5,CO,2015,36.11
1,N,2015,39.78
2,NE,2015,41.07
4,S,2015,23.39
3,SE,2015,19.21
5,CO,2016,36.06
1,N,2016,44.55
2,NE,2016,43.68
4,S,2016,24.76
3,SE,2016,19.47
5,CO,2017,33.21
1,N,2017,47.43
2,NE,2017,48.58
4,S,2017,24.09
3,SE,2017,19.4
